MaKhachHang,MaSanPham,DiemDanhGia
KH0001,SP0012,2
KH0004,SP0048,1
KH0008,SP0037,3
KH0007,SP0022,2
KH0007,SP0049,4
KH0008,SP0015,4
KH0006,SP0001,4
KH0008,SP0022,4
KH0009,SP0044,1
KH0001,SP0009,5
KH0004,SP0004,2
KH0010,SP0044,4
KH0009,SP0031,5
KH0009,SP0050,1
KH0006,SP0025,5
KH0006,SP0031,4
KH0008,SP0046,1
KH0007,SP0048,2
KH0001,SP0006,3
KH0004,SP0049,4
KH0009,SP0019,4
KH0008,SP0041,2
KH0004,SP0016,5
KH0007,SP0010,2
KH0003,SP0029,3
KH0004,SP0022,4
KH0003,SP0034,2
KH0001,SP0017,5
KH0010,SP0003,3
KH0003,SP0038,1
KH0001,SP0050,4
KH0006,SP0024,2
KH0005,SP0026,2
KH0010,SP0018,1
KH0002,SP0006,4
KH0009,SP0001,4
KH0004,SP0020,5
KH0010,SP0003,1
KH0008,SP0027,4
KH0004,SP0014,2
KH0005,SP0034,3
KH0008,SP0006,2
KH0009,SP0042,2
KH0001,SP0045,2
KH0010,SP0025,3
KH0005,SP0026,3
KH0005,SP0040,3
KH0008,SP0002,4
KH0008,SP0016,5
KH0004,SP0037,1
KH0010,SP0032,1
KH0010,SP0016,1
KH0007,SP0049,3
KH0002,SP0016,5
KH0004,SP0016,3
KH0001,SP0047,1
KH0001,SP0019,1
KH0005,SP0028,3
KH0006,SP0024,1
KH0006,SP0024,4
KH0001,SP0031,2
KH0010,SP0024,2
KH0002,SP0034,5
KH0003,SP0010,4
KH0010,SP0005,2
KH0008,SP0027,4
KH0004,SP0028,2
KH0001,SP0047,1
KH0004,SP0030,5
KH0004,SP0011,5
KH0009,SP0015,3
KH0010,SP0019,4
KH0010,SP0025,2
KH0002,SP0039,2
KH0002,SP0039,1
KH0007,SP0033,1
KH0010,SP0026,4
KH0009,SP0045,2
KH0002,SP0022,4
KH0005,SP0028,2
KH0007,SP0023,5
KH0010,SP0039,5
KH0008,SP0024,1
KH0001,SP0041,4
KH0008,SP0028,2
KH0009,SP0041,1
KH0006,SP0018,4
KH0002,SP0026,2
KH0008,SP0013,5
KH0001,SP0050,2
KH0007,SP0010,4
KH0001,SP0020,4
KH0006,SP0033,1
KH0010,SP0050,2
KH0007,SP0003,5
KH0002,SP0004,5
KH0008,SP0038,3
KH0007,SP0014,2
KH0003,SP0003,3
KH0004,SP0007,4
KH0003,SP0017,5
KH0002,SP0016,5
KH0003,SP0047,3
KH0001,SP0016,4
KH0007,SP0024,3
KH0006,SP0038,1
KH0010,SP0047,4
KH0004,SP0029,2
KH0003,SP0013,4
KH0003,SP0044,5
KH0010,SP0014,3
KH0003,SP0043,1
KH0005,SP0040,3
KH0002,SP0029,2
KH0009,SP0046,1
KH0009,SP0047,2
KH0004,SP0010,2
KH0006,SP0025,5
KH0004,SP0046,5
KH0006,SP0020,1
KH0010,SP0030,4
KH0003,SP0014,2
KH0006,SP0050,3
KH0010,SP0012,4
KH0009,SP0005,4
KH0008,SP0029,1
KH0010,SP0043,3
KH0003,SP0004,4
KH0009,SP0038,5
KH0006,SP0007,2
KH0005,SP0031,4
KH0003,SP0007,5
KH0008,SP0034,1
KH0004,SP0007,2
KH0004,SP0040,3
KH0001,SP0023,2
KH0005,SP0043,3
KH0007,SP0027,3
KH0002,SP0048,2
KH0010,SP0044,4
KH0004,SP0002,1
KH0010,SP0014,4
KH0007,SP0024,1
KH0003,SP0048,3
KH0001,SP0036,2
KH0004,SP0018,5
KH0007,SP0010,1
KH0006,SP0007,4
KH0008,SP0046,2
KH0004,SP0041,1
KH0001,SP0028,5
KH0010,SP0006,2
KH0006,SP0047,1
KH0002,SP0013,3
KH0010,SP0015,1
KH0006,SP0016,2
KH0007,SP0030,5
KH0001,SP0039,3
KH0001,SP0007,1
KH0005,SP0014,3
KH0008,SP0032,1
KH0007,SP0047,5
KH0010,SP0047,4
KH0010,SP0040,1
KH0008,SP0027,5
KH0003,SP0017,3
KH0010,SP0029,1
KH0008,SP0024,3
KH0004,SP0014,3
KH0008,SP0015,3
KH0009,SP0003,5
KH0006,SP0041,3
KH0009,SP0031,2
KH0003,SP0022,1
KH0003,SP0046,5
KH0008,SP0005,3
KH0001,SP0020,1
KH0005,SP0017,4
KH0003,SP0007,4
KH0001,SP0006,2
KH0006,SP0004,5
KH0008,SP0021,5
KH0008,SP0002,1
KH0005,SP0029,4
KH0002,SP0045,4
KH0004,SP0003,3
KH0002,SP0014,4
KH0004,SP0028,5
KH0007,SP0049,2
KH0004,SP0009,3
KH0006,SP0005,1
KH0004,SP0007,1
KH0009,SP0022,2
KH0004,SP0008,2
KH0004,SP0012,5
KH0003,SP0033,3
KH0007,SP0003,2
KH0007,SP0025,1
KH0004,SP0007,2
KH0007,SP0009,2
KH0004,SP0021,2
KH0006,SP0004,4
KH0006,SP0032,4
KH0010,SP0029,3
KH0006,SP0040,1
KH0007,SP0013,1
KH0006,SP0022,5
KH0004,SP0001,2
KH0001,SP0035,2
KH0007,SP0042,4
KH0008,SP0011,2
KH0001,SP0002,4
KH0010,SP0033,4
KH0003,SP0037,2
KH0001,SP0032,5
KH0009,SP0042,3
KH0010,SP0043,2
KH0001,SP0016,4
KH0001,SP0032,5
KH0010,SP0015,5
KH0008,SP0031,2
KH0006,SP0022,3
KH0007,SP0040,5
KH0003,SP0032,3
KH0004,SP0033,1
KH0002,SP0026,2
KH0010,SP0034,1
KH0007,SP0006,3
KH0009,SP0003,1
KH0005,SP0008,1
KH0009,SP0013,3
KH0005,SP0037,5
KH0002,SP0041,5
KH0009,SP0023,5
KH0008,SP0020,3
KH0005,SP0003,3
KH0002,SP0025,1
KH0006,SP0020,2
KH0008,SP0005,2
KH0005,SP0026,1
KH0001,SP0027,3
KH0010,SP0037,3
KH0010,SP0012,3
KH0003,SP0031,4
KH0009,SP0049,5
KH0003,SP0028,4
KH0007,SP0044,5
KH0005,SP0037,1
KH0001,SP0009,3
KH0004,SP0011,4
KH0005,SP0003,5
KH0001,SP0007,2
KH0001,SP0050,5
KH0006,SP0009,1
KH0010,SP0010,5
KH0009,SP0025,5
KH0009,SP0013,4
KH0009,SP0033,5
KH0010,SP0012,3
KH0009,SP0040,5
KH0008,SP0048,2
KH0002,SP0046,5
KH0005,SP0036,3
KH0007,SP0001,5
KH0005,SP0026,3
KH0009,SP0007,5
KH0007,SP0015,4
KH0005,SP0035,5
KH0001,SP0013,1
KH0010,SP0017,1
KH0001,SP0048,1
KH0001,SP0011,4
KH0010,SP0027,3
KH0008,SP0028,3
KH0010,SP0022,3
KH0005,SP0036,5
KH0003,SP0038,2
KH0006,SP0006,3
KH0001,SP0005,1
KH0004,SP0010,3
KH0004,SP0013,4
KH0005,SP0005,2
KH0008,SP0036,3
KH0007,SP0015,4
KH0006,SP0037,3
KH0001,SP0041,2
KH0009,SP0030,2
KH0002,SP0020,4
KH0006,SP0023,3
KH0004,SP0010,3
KH0001,SP0047,4
KH0003,SP0036,3
KH0002,SP0012,5
KH0005,SP0039,5
KH0010,SP0004,2
KH0006,SP0021,4
KH0004,SP0023,2
KH0002,SP0009,4
KH0003,SP0003,5
KH0002,SP0036,4
KH0005,SP0027,5
KH0005,SP0044,2
KH0006,SP0028,2
KH0010,SP0027,4
KH0007,SP0025,5
KH0007,SP0032,3
KH0008,SP0016,5
KH0005,SP0011,4
KH0001,SP0048,5
KH0001,SP0034,5
KH0008,SP0031,5
KH0007,SP0026,1
KH0002,SP0002,4
KH0006,SP0045,4
KH0009,SP0035,1
KH0002,SP0010,3
KH0006,SP0028,3
KH0008,SP0007,5
KH0008,SP0043,5
KH0007,SP0013,3
KH0009,SP0043,1
KH0008,SP0019,4
KH0010,SP0009,2
KH0003,SP0004,5
KH0003,SP0004,5
KH0003,SP0020,2
KH0006,SP0018,1
KH0005,SP0010,4
KH0010,SP0047,5
KH0003,SP0046,2
KH0004,SP0001,5
KH0007,SP0001,3
KH0004,SP0019,2
KH0003,SP0048,3
KH0009,SP0022,2
KH0003,SP0040,1
KH0007,SP0026,4
KH0003,SP0026,5
KH0005,SP0048,5
KH0010,SP0046,3
KH0009,SP0018,3
KH0001,SP0039,5
KH0004,SP0022,4
KH0010,SP0049,1
KH0003,SP0015,3
KH0009,SP0001,4
KH0003,SP0008,1
KH0009,SP0001,3
KH0010,SP0018,2
KH0010,SP0034,1
KH0006,SP0047,2
KH0007,SP0009,5
KH0007,SP0040,4
KH0007,SP0049,3
KH0008,SP0045,2
KH0008,SP0044,3
KH0004,SP0017,3
KH0007,SP0049,3
KH0007,SP0043,3
KH0006,SP0041,1
KH0008,SP0032,3
KH0010,SP0028,1
KH0010,SP0041,1
KH0007,SP0006,5
KH0001,SP0046,2
KH0009,SP0011,1
KH0009,SP0042,4
KH0004,SP0008,3
KH0009,SP0025,5
KH0010,SP0030,1
KH0002,SP0018,5
KH0004,SP0041,5
KH0009,SP0012,4
KH0009,SP0038,5
KH0001,SP0042,5
KH0009,SP0017,5
KH0008,SP0032,5
KH0010,SP0029,1
KH0004,SP0004,5
KH0010,SP0016,5
KH0007,SP0006,1
KH0002,SP0029,2
KH0010,SP0030,2
KH0009,SP0038,2
KH0003,SP0005,3
KH0001,SP0022,2
KH0006,SP0015,2
KH0003,SP0010,3
KH0001,SP0008,5
KH0004,SP0014,3
KH0004,SP0024,4
KH0004,SP0024,5
KH0001,SP0023,4
KH0001,SP0014,5
KH0009,SP0036,2
KH0001,SP0033,3
KH0010,SP0022,2
KH0010,SP0048,3
KH0009,SP0022,4
KH0004,SP0034,4
KH0006,SP0009,3
KH0005,SP0035,2
KH0002,SP0007,5
KH0010,SP0036,3
KH0009,SP0044,5
KH0001,SP0026,5
KH0009,SP0019,1
KH0010,SP0020,5
KH0009,SP0003,2
KH0001,SP0019,2
KH0007,SP0022,2
KH0010,SP0021,2
KH0008,SP0047,1
KH0004,SP0040,5
KH0001,SP0040,3
KH0004,SP0037,3
KH0009,SP0010,5
KH0005,SP0006,3
KH0002,SP0031,5
KH0001,SP0034,4
KH0009,SP0025,1
KH0010,SP0047,2
KH0001,SP0044,5
KH0007,SP0044,3
KH0007,SP0005,4
KH0001,SP0015,2
KH0005,SP0011,2
KH0002,SP0008,5
KH0002,SP0014,3
KH0008,SP0041,5
KH0002,SP0005,2
KH0010,SP0022,4
KH0007,SP0018,4
KH0003,SP0010,3
KH0002,SP0015,3
KH0005,SP0033,5
KH0010,SP0025,4
KH0005,SP0011,2
KH0008,SP0024,4
KH0008,SP0019,4
KH0002,SP0041,3
KH0005,SP0008,3
KH0006,SP0037,5
KH0001,SP0041,1
KH0006,SP0021,1
KH0009,SP0002,4
KH0002,SP0005,3
KH0010,SP0026,1
KH0007,SP0022,1
KH0004,SP0029,5
KH0005,SP0009,3
KH0010,SP0030,5
KH0005,SP0011,5
KH0001,SP0012,2
KH0010,SP0046,5
KH0008,SP0037,2
KH0009,SP0004,1
KH0001,SP0018,1
KH0004,SP0009,5
KH0001,SP0037,4
KH0007,SP0007,4
KH0004,SP0003,1
KH0001,SP0034,3
KH0002,SP0042,3
KH0003,SP0003,4
KH0003,SP0043,1
KH0003,SP0016,2
KH0007,SP0043,3
KH0003,SP0007,3
KH0002,SP0017,1
KH0006,SP0046,4
KH0001,SP0012,3
KH0006,SP0043,3
KH0010,SP0048,3
KH0010,SP0016,3
KH0005,SP0041,1
KH0005,SP0040,4
KH0009,SP0032,1
KH0002,SP0011,5
KH0006,SP0047,2
KH0001,SP0036,3
KH0006,SP0044,4
KH0009,SP0039,5
KH0007,SP0002,3
KH0007,SP0010,1
KH0005,SP0040,5
KH0002,SP0016,1
KH0003,SP0046,1
KH0009,SP0013,1
KH0003,SP0017,2
KH0001,SP0012,4
KH0007,SP0041,1
KH0007,SP0009,1
KH0002,SP0021,5
KH0009,SP0009,1
KH0010,SP0028,3
KH0002,SP0020,4
KH0001,SP0013,2
KH0007,SP0025,3
KH0003,SP0007,4
KH0005,SP0026,2
KH0010,SP0045,3
KH0005,SP0042,5
KH0008,SP0031,2
KH0010,SP0019,1
KH0003,SP0043,2
KH0004,SP0036,1
KH0001,SP0003,1
KH0010,SP0017,4
KH0001,SP0006,3
KH0003,SP0020,5
KH0006,SP0048,3
KH0003,SP0048,1
KH0003,SP0009,1
KH0002,SP0027,3
KH0009,SP0025,5
KH0009,SP0007,3
KH0009,SP0037,4
KH0007,SP0049,1
KH0007,SP0003,1
KH0009,SP0020,3
KH0004,SP0022,3
KH0010,SP0014,4
KH0007,SP0018,5
KH0003,SP0010,1
KH0001,SP0014,2
KH0007,SP0039,2
KH0010,SP0023,5
KH0010,SP0041,2
KH0001,SP0003,1
KH0004,SP0002,3
KH0001,SP0038,4
KH0009,SP0040,3
KH0001,SP0020,5
KH0007,SP0040,5
KH0002,SP0041,3
KH0006,SP0038,1
KH0006,SP0027,1
KH0004,SP0023,2
KH0004,SP0006,1
KH0007,SP0045,1
KH0004,SP0035,2
KH0006,SP0037,4
KH0003,SP0028,3
KH0008,SP0047,4
KH0008,SP0040,4
KH0010,SP0023,2
KH0005,SP0025,3
KH0003,SP0027,5
KH0007,SP0015,3
KH0009,SP0026,4
KH0001,SP0029,4
KH0004,SP0019,2
KH0004,SP0048,1
KH0009,SP0032,5
KH0002,SP0046,1
KH0005,SP0024,4
KH0004,SP0009,3
KH0009,SP0020,1
KH0008,SP0026,1
KH0004,SP0004,2
KH0003,SP0033,2
KH0005,SP0035,1
KH0006,SP0041,3
KH0009,SP0049,1
KH0010,SP0049,2
KH0002,SP0045,2
KH0002,SP0001,2
KH0001,SP0013,2
KH0001,SP0002,4
KH0009,SP0038,2
KH0002,SP0019,5
KH0009,SP0010,3
KH0004,SP0029,4
KH0004,SP0039,4
KH0008,SP0022,3
KH0005,SP0029,2
KH0009,SP0046,2
KH0010,SP0046,1
KH0004,SP0043,4
KH0002,SP0027,1
KH0003,SP0005,5
KH0004,SP0018,3
KH0003,SP0005,5
KH0004,SP0017,2
KH0008,SP0028,1
KH0009,SP0024,3
KH0003,SP0041,1
KH0002,SP0032,1
KH0005,SP0022,2
KH0008,SP0037,2
KH0004,SP0023,4
KH0008,SP0048,2
KH0005,SP0031,1
KH0001,SP0007,5
KH0001,SP0043,3
KH0007,SP0014,5
KH0002,SP0021,4
KH0010,SP0031,5
KH0001,SP0040,1
KH0008,SP0022,1
KH0001,SP0033,2
KH0005,SP0050,3
KH0004,SP0035,5
KH0004,SP0012,2
KH0009,SP0047,3
KH0007,SP0002,5
KH0006,SP0042,1
KH0001,SP0015,4
KH0002,SP0002,2
KH0004,SP0015,1
KH0007,SP0033,3
KH0005,SP0023,4
KH0008,SP0044,2
KH0004,SP0022,1
KH0003,SP0044,4
KH0008,SP0044,1
KH0002,SP0024,1
KH0006,SP0050,3
KH0007,SP0034,2
KH0003,SP0044,3
KH0009,SP0049,3
KH0005,SP0050,5
KH0009,SP0001,2
KH0001,SP0003,2
KH0008,SP0029,4
KH0002,SP0033,2
KH0004,SP0038,2
KH0004,SP0042,2
KH0001,SP0048,3
KH0007,SP0007,2
KH0005,SP0035,3
KH0006,SP0005,2
KH0002,SP0042,4
KH0004,SP0017,2
KH0006,SP0037,2
KH0008,SP0046,5
KH0001,SP0017,1
KH0009,SP0026,2
KH0005,SP0043,3
KH0002,SP0034,5
KH0003,SP0030,2
KH0008,SP0022,1
KH0003,SP0029,1
KH0001,SP0020,4
KH0009,SP0042,4
KH0007,SP0007,5
KH0006,SP0021,5
KH0008,SP0039,5
KH0009,SP0049,5
KH0005,SP0034,2
KH0002,SP0050,4
KH0006,SP0022,5
KH0003,SP0012,2
KH0002,SP0005,4
KH0005,SP0028,3
KH0009,SP0002,1
KH0002,SP0007,1
KH0008,SP0014,4
KH0007,SP0015,5
KH0005,SP0016,5
KH0008,SP0041,1
KH0005,SP0026,5
KH0002,SP0016,5
KH0005,SP0010,5
KH0003,SP0020,5
KH0002,SP0050,3
KH0002,SP0048,1
KH0005,SP0035,4
KH0010,SP0017,1
KH0001,SP0046,5
KH0001,SP0044,5
KH0005,SP0022,3
KH0010,SP0008,3
KH0009,SP0032,2
KH0003,SP0047,2
KH0002,SP0034,3
KH0005,SP0036,1
KH0009,SP0045,2
KH0002,SP0048,3
KH0007,SP0044,2
KH0004,SP0011,3
KH0002,SP0017,3
KH0002,SP0026,3
KH0001,SP0026,1
KH0005,SP0023,4
KH0005,SP0006,3
KH0008,SP0044,2
KH0004,SP0009,2
KH0009,SP0038,1
KH0002,SP0016,5
KH0002,SP0023,4
KH0001,SP0020,5
KH0006,SP0043,3
KH0007,SP0023,2
KH0009,SP0025,5
KH0002,SP0026,2
KH0007,SP0008,2
KH0009,SP0038,4
KH0003,SP0034,1
KH0009,SP0025,5
KH0006,SP0010,2
KH0010,SP0035,3
KH0008,SP0045,5
KH0001,SP0047,2
KH0009,SP0017,1
KH0009,SP0049,1
KH0009,SP0013,3
KH0008,SP0008,1
KH0003,SP0049,3
KH0009,SP0040,1
KH0001,SP0039,3
KH0005,SP0027,4
KH0004,SP0003,3
KH0003,SP0043,2
KH0007,SP0031,3
KH0001,SP0001,5
KH0003,SP0047,2
KH0002,SP0019,2
KH0006,SP0034,3
KH0003,SP0028,1
KH0003,SP0019,5
KH0003,SP0021,1
KH0009,SP0038,5
KH0009,SP0016,4
KH0009,SP0041,4
KH0003,SP0033,5
KH0001,SP0009,5
KH0001,SP0004,4
KH0002,SP0006,4
KH0007,SP0041,1
KH0001,SP0048,2
KH0010,SP0014,2
KH0005,SP0002,3
KH0006,SP0022,5
KH0002,SP0001,1
KH0004,SP0037,2
KH0008,SP0010,5
KH0005,SP0003,1
KH0003,SP0011,3
KH0008,SP0043,5
KH0008,SP0046,2
KH0001,SP0001,3
KH0009,SP0029,2
KH0005,SP0037,2
KH0002,SP0036,5
KH0005,SP0023,2
KH0005,SP0037,5
KH0004,SP0050,1
KH0004,SP0030,3
KH0010,SP0036,2
KH0009,SP0028,5
KH0003,SP0031,2
KH0010,SP0013,5
KH0002,SP0038,4
KH0006,SP0035,4
KH0010,SP0045,4
KH0002,SP0047,2
KH0001,SP0022,5
KH0002,SP0012,5
KH0004,SP0012,3
KH0008,SP0004,1
KH0006,SP0007,1
KH0004,SP0025,2
KH0008,SP0006,1
KH0001,SP0004,3
KH0006,SP0024,5
KH0004,SP0038,1
KH0007,SP0023,5
KH0003,SP0040,1
KH0002,SP0019,2
KH0007,SP0010,1
KH0010,SP0030,1
KH0004,SP0047,4
KH0006,SP0041,1
KH0005,SP0048,4
KH0007,SP0038,5
KH0005,SP0027,1
KH0005,SP0045,2
KH0003,SP0045,5
KH0010,SP0017,5
KH0008,SP0042,1
KH0002,SP0010,5
KH0001,SP0047,3
KH0005,SP0036,5
KH0003,SP0031,5
KH0003,SP0036,3
KH0001,SP0049,2
KH0008,SP0049,2
KH0001,SP0028,4
KH0008,SP0039,5
KH0003,SP0036,5
KH0004,SP0015,2
KH0003,SP0013,3
KH0002,SP0018,1
KH0006,SP0044,4
KH0002,SP0022,1
KH0007,SP0006,5
KH0002,SP0020,3
KH0006,SP0020,2
KH0003,SP0050,3
KH0009,SP0048,1
KH0001,SP0018,4
KH0003,SP0032,2
KH0002,SP0016,3
KH0008,SP0029,4
KH0008,SP0016,5
KH0009,SP0038,5
KH0005,SP0026,1
KH0003,SP0005,2
KH0005,SP0041,4
KH0007,SP0004,3
KH0008,SP0040,3
KH0002,SP0013,4
KH0010,SP0008,5
KH0008,SP0036,3
KH0009,SP0050,1
KH0003,SP0030,5
KH0007,SP0010,4
KH0006,SP0050,2
KH0009,SP0021,2
KH0005,SP0043,1
KH0004,SP0004,3
KH0001,SP0047,4
KH0003,SP0010,4
KH0004,SP0048,3
KH0007,SP0027,4
KH0004,SP0044,5
KH0010,SP0024,4
KH0004,SP0029,3
KH0003,SP0003,2
KH0009,SP0019,2
KH0003,SP0006,5
KH0003,SP0020,2
KH0010,SP0013,5
KH0009,SP0045,5
KH0006,SP0030,1
KH0009,SP0030,1
KH0006,SP0036,5
KH0004,SP0031,2
KH0002,SP0027,2
KH0002,SP0012,2
KH0008,SP0018,3
KH0006,SP0026,2
KH0003,SP0004,5
KH0001,SP0037,5
KH0009,SP0039,2
KH0008,SP0049,1
KH0007,SP0017,4
KH0009,SP0044,2
KH0007,SP0020,1
KH0006,SP0027,3
KH0006,SP0009,5
KH0005,SP0034,3
KH0003,SP0008,3
KH0007,SP0004,4
KH0004,SP0037,3
KH0008,SP0002,1
KH0005,SP0005,1
KH0007,SP0039,4
KH0003,SP0028,4
KH0003,SP0006,5
KH0003,SP0001,2
KH0001,SP0031,3
KH0007,SP0038,1
KH0004,SP0041,5
KH0006,SP0042,5
KH0004,SP0021,3
KH0008,SP0048,5
KH0010,SP0029,5
KH0008,SP0050,4
KH0003,SP0046,1
KH0002,SP0010,2
KH0006,SP0041,2
KH0006,SP0026,1
KH0007,SP0016,2
KH0009,SP0044,2
KH0004,SP0004,2
KH0009,SP0015,5
KH0003,SP0026,4
KH0005,SP0020,5
KH0001,SP0035,3
KH0009,SP0025,4
KH0007,SP0033,5
KH0003,SP0039,1
KH0009,SP0021,5
KH0004,SP0035,4
KH0009,SP0005,3
KH0005,SP0028,4
KH0007,SP0028,3
KH0001,SP0050,3
KH0004,SP0037,5
KH0001,SP0026,4
KH0006,SP0049,1
KH0010,SP0038,2
KH0007,SP0037,3
KH0010,SP0012,2
KH0004,SP0021,4
KH0004,SP0029,2
KH0006,SP0003,3
KH0004,SP0044,5
KH0010,SP0029,3
KH0006,SP0017,5
KH0003,SP0016,1
KH0009,SP0003,5
KH0010,SP0009,5
KH0007,SP0042,2
KH0003,SP0019,4
KH0008,SP0024,4
KH0010,SP0004,4
KH0001,SP0009,3
KH0001,SP0011,3
KH0010,SP0050,3
KH0010,SP0047,1
KH0009,SP0027,1
KH0002,SP0003,4
KH0004,SP0002,3
KH0010,SP0014,5
KH0010,SP0025,3
KH0008,SP0014,4
KH0005,SP0034,5
KH0007,SP0046,4
KH0003,SP0032,3
KH0010,SP0049,5
KH0006,SP0022,1
KH0010,SP0037,1
KH0007,SP0050,5
KH0002,SP0036,5
KH0003,SP0008,3
KH0010,SP0039,2
KH0006,SP0025,3
KH0005,SP0010,3
KH0006,SP0028,3
KH0010,SP0039,4
KH0009,SP0030,3
KH0007,SP0011,3
KH0009,SP0046,2
KH0008,SP0047,4
KH0006,SP0024,3
KH0005,SP0005,5
KH0008,SP0033,3
KH0003,SP0008,4
KH0005,SP0026,1
KH0004,SP0032,4
KH0006,SP0021,2
KH0010,SP0007,3
KH0010,SP0017,5
KH0007,SP0032,3
KH0003,SP0007,3
KH0001,SP0030,1
KH0006,SP0016,3
KH0010,SP0048,2
KH0006,SP0046,2
KH0004,SP0005,3
KH0007,SP0016,5
KH0004,SP0027,2
KH0002,SP0019,1
KH0004,SP0015,1
KH0002,SP0040,2
KH0004,SP0048,3
KH0007,SP0005,2
KH0003,SP0022,3
KH0008,SP0033,3
KH0009,SP0027,1
KH0008,SP0013,3
KH0009,SP0001,1
KH0001,SP0019,2
KH0009,SP0040,2
KH0004,SP0035,4
KH0005,SP0018,4
KH0010,SP0044,2
KH0001,SP0041,5
KH0007,SP0036,4
KH0003,SP0035,2
KH0010,SP0005,3
KH0005,SP0007,2
KH0009,SP0007,5
KH0004,SP0038,4
KH0007,SP0002,3
KH0004,SP0028,5
KH0003,SP0020,2
KH0002,SP0005,5
KH0004,SP0016,5
KH0009,SP0045,4
KH0010,SP0048,1
KH0004,SP0025,4
KH0007,SP0018,3
KH0008,SP0018,3
KH0001,SP0026,3
KH0008,SP0017,4
KH0010,SP0038,3
KH0007,SP0045,5
KH0004,SP0012,3
KH0008,SP0034,2
KH0010,SP0024,3
KH0008,SP0045,4
KH0004,SP0029,3
KH0004,SP0017,2
KH0002,SP0043,2
KH0005,SP0040,4
